Seq | Data_Center_Code | Parameter_Name | Unit | Places_Before | Places_After | Minimum_Value | Maximum_Value | Originally_Entered_By | Originally_Parameter_Description
90000290 | 20 | HPLC_%DVb | % | 3 | 3 | 0.00000 | 100.00000 | MARY | Percent DVb
90000172 | 90 | HPLC_FUCOX | mg/m3 | 2 | 3 | 0.00000 | 64.00000 | KennedyM | fucoxanthin
90000174 | 90 | HPLC_HEXLIKE | mg/m3 | 2 | 3 | 0.00000 | 64.00000 | KennedyM | hplc pigment similar to hex19 (elutes ~0.1 minute after 19hex)
90000181 | 90 | HPLC_HEXLIKE2 | mg/m3 | 2 | 3 | 0.00000 | 64.00000 | KennedyM | hplc pigment similar to hex19 (elutes ~0.2 minute after 19hex)
90000173 | 90 | HPLC_HEX19 | mg/m3 | 2 | 3 | 0.00000 | 64.00000 | KennedyM | 19-hexanoyl-oxy-fucoxanthin
90000175 | 90 | HPLC_PERID | mg/m3 | 2 | 3 | 0.00000 | 64.00000 | KennedyM | peridinin
90000176 | 90 | HPLC_PHAEO | mg/m3 | 2 | 3 | 0.00000 | 64.00000 | KennedyM | total hplc phaeopigment concentration (includes all phaeophorbides and phaeophytins)
90000180 | 90 | HPLC_PRASINOX | mg/m3 | 2 | 3 | 0.00000 | 64.00000 | KennedyM | prasinoxanthin
90000177 | 90 | HPLC_PYROPHAE | mg/m3 | 2 | 3 | 0.00000 | 64.00000 | KennedyM | pytophaeophorbide a
90000178 | 90 | HPLC_VIOLAX | mg/m3 | 2 | 3 | 0.00000 | 64.00000 | KennedyM | violaxanthin
90000179 | 90 | HPLC_ZEA | mg/m3 | 2 | 3 | 0.00000 | 64.00000 | KennedyM | zeaxanthin
90000078 | 90 | Hydrogen sulfide | mmol/m3 | 3 | 3 | 0.00000 | 500.00000 | P. Strain | Hydrogen sulfide
90000197 | 20 | IceAlgaeAreal_ATP | mg/m2 | 2 | 4 | 0.00000 | 9.99990 | MARY | ice algae areal ATP
90000194 | 20 | IceAlgaeAreal_Chl | mg/m2 | 4 | 1 | 0.00000 | 9999.00000 | MARY | Ice algae areal chlorophyll
90000195 | 20 | IceAlgaeAreal_Phaeo | mg/m2 | 4 | 1 | 0.00000 | 9999.00000 | MARY | Ice algae areal phaeo
90000083 | 90 | Incident radiation | uE m-2 s-1 | 4 | 1 | 0.00000 | 5000.00000 | P. Strain | Incident radiation
90000203 | 20 | IncTemp_06H_N15 | degrees C | 3 | 2 | -2.00000 | 35.00000 | MARY | temperature of incubation for 6hr H_N15 incubation in degrees Celcuis
90000190 | 20 | IncT_insitu | hours | 2 | 2 | 0.00000 | 72.00000 | MARY | Length of insitu incubation in time hours)
90000187 | 20 | IncT_06H_N15 | hours | 2 | 2 | 0.00000 | 99.00000 | MARY | length of 6hr H_N15 incubation in time (hours)
90000188 | 20 | IncT_24H_N15 | hours | 2 | 2 | 0.00000 | 99.00000 | MARY | length of 24hr H_N15 incubation in time (hours)
90000192 | 20 | IncT_24H_SISC14 | hours | 2 | 2 | 0.00000 | 72.00000 | MARY | Incubation time for 24hr SIS incubation using C14
90000183 | 90 | Incubation_hrs | hours | 2 | 2 | 0.00000 | 99.00000 | MARY | length of production incubation/experiment in time (hours)
90000273 | 20 | K | mg/m3 | 4 | 0 | -1.00000 | 2000.00000 | BCPIERRE | Potassium - particulate
90000232 | 20 | K-particulate | g/kg | 2 | 1 | -1.00000 | 50.00000 | BCPIERRE | Potassium - particulate
90000338 | 20 | K-Sediment | ug/g | 2 | 2 | 0.00000 | 50.00000 | BCPIERRE | Potassium - Sediment
90000281 | 20 | La | mg/m3 | 10 | 10 | -1.00000 | 1000.00000 | BCPIERRE | Lanthanum - filtered or unfiltered
90000229 | 20 | La-particulate | ug/g | 2 | 1 | -1.00000 | 90.00000 | BCPIERRE | Lanthanum - particulate
90000340 | 20 | La-Sediment | ug/g | 2 | 2 | 0.00000 | 50.00000 | BCPIERRE | Lanthium - Sediment
90000125 | 20 | Leucine Incorp. | pmol/L/h | 4 | 3 | 0.00100 | 999.99900 | MARY | Leucine Incorporation
90000086 | 90 | Leucine production | pmol m-3 h-1 | 5 | 2 |  |  | P. Strain | Bacterial leucine production
90000280 | 20 | Li | mg/m3 | 4 | 1 | -1.00000 | 5000.00000 | BCPIERRE | Lithium - filtered or unfiltered
90000133 | 20 | Light Tansmittance | % | 3 | 2 | 0.00000 | 100.00000 | BCPIERRE | Percent light transmission measured by Transmisometer or other device
90000231 | 20 | Li-particulate | ug/g | 3 | 1 | -1.00000 | 100.00000 | BCPIERRE | Lithium - particulate
90000342 | 20 | Li-Sediment | ug/g | 2 | 2 | 0.00000 | 50.00000 | BCPIERRE | Lithium - Sediment
90000011 | 90 | Magnesium | p | 3 | 2 | 0.00000 | 35.00000 | P. Strain | Magnesium
90000026 | 90 | Methane | micromol/m**3 | 4 | 3 | 0.00000 | 500.00000 | P. Strain | Methane
