Seq | Data_Center_Code | Parameter_Name | Unit | Places_Before | Places_After | Minimum_Value | Maximum_Value | Originally_Entered_By | Originally_Parameter_Description
90000249 | 20 | S-particulate | g/kg | 10 | 10 | -1.00000 | 1000.00000 | BCPIERRE | Sulphur - particulate
90000022 | 90 | SPM | mg/l | 3 | 3 | 0.00000 | 500.00000 | P. Strain | Suspended particulate matter (SPM)
90000269 | 20 | Sr | mg/m3 | 4 | 1 | -1.00000 | 2000.00000 | BCPIERRE | Strontium - filtered or unfiltered
90000243 | 20 | Sr-particulate | ug/g | 3 | 0 | -1.00000 | 1500.00000 | BCPIERRE | Strontium - particulate
90000372 | 20 | Sr-Sediment | ug/g | 2 | 2 | 0.00000 | 50.00000 | BCPIERRE | Strontium - Sediment
90000362 | 20 | S-Sediment | ug/g | 2 | 2 | 0.00000 | 1000.00000 | BCPIERRE | Sulphur - Sediment
90000025 | 90 | Strontium-90 - total | mBq/l | 3 | 2 |  |  | P. Strain | Strontium-90 - unfiltered
90000048 | 90 | Sulfate | p | 3 | 2 | 0.00000 | 50.00000 | P. Strain | Sulfate
90000288 | 20 | Sulphide | mmol/m3 | 4 | 4 | 0.00000 | 1000.00000 | MARY | Sulphide
90000374 | 20 | Ta-Sediment | ug/g | 2 | 2 | 0.00000 | 50.00000 | BCPIERRE | Tantalum - Sediment
90000268 | 20 | Te | mg/m3 | 10 | 10 | -1.00000 | 1000.00000 | BCPIERRE | Tellurium - filtered or unfiltered
90000003 | 90 | Temperature | degrees C | 3 | 3 | -3.00000 | 35.00000 | P. Strain | Temperature
90000234 | 20 | Te-particulate | ug/g | 10 | 10 | -1.00000 | 1000.00000 | BCPIERRE | Tellurium - particulate
90000376 | 20 | Th-Sediment | ug/g | 2 | 2 | 0.00000 | 50.00000 | BCPIERRE | Thorium - Sediment
90000087 | 90 | Thymidine production | pmol m-3 h-1 | 5 | 2 |  |  | P. Strain | Bacterial thymidine production
90000267 | 20 | Ti | mg/m3 | 2 | 1 | -1.00000 | 90.00000 | BCPIERRE | Titanium - filtered or unfiltered
90000238 | 20 | Ti-particulate | ug/g | 4 | 0 | -1.00000 | 9000.00000 | BCPIERRE | Titanium - particulate
90000378 | 20 | Ti-Sediment | ug/g | 2 | 2 | 0.00000 | 50.00000 | BCPIERRE | Titanium - Sediment
90000266 | 20 | Tl | mg/m3 | 1 | 2 | -1.00000 | 1.00000 | BCPIERRE | Thallium - filtered or unfiltered
90000240 | 20 | Tl-particulate | ug/g | 1 | 2 | -1.00000 | 9.00000 | BCPIERRE | Thallium - particulate
90000018 | 90 | TOC | mmol/m3 | 4 | 2 | 0.00000 | 999.00000 | P. Strain | Total organic carbon (dissolved + particulate, TOC)
90000080 | 90 | Total nitrogen | mmol/m3 | 3 | 2 | 0.00000 | 100.00000 | P. Strain | Total nitrogen
90000071 | 90 | Total phosphorus | mmol/m3 | 2 | 3 | 0.00000 | 30.00000 | P. Strain | Total phosphorus concentration (organic + inorganic)
90000053 | 90 | Tritium | Bq/l | 4 | 2 | 0.00000 | 20.00000 | P. Strain | H-3, tritium (unfiltered)
90000054 | 90 | Tritium error | Bq/l | 2 | 2 | 0.00000 | 5.00000 | P. Strain | Tritium error
90000065 | 90 | Tritium 81 | Bq/l | 4 | 2 | 0.00000 | 30.00000 | P. Strain | Tritium, referenced to 1981
90000261 | 20 | U | mg/m3 | 1 | 2 | -1.00000 | 2.00000 | BCPIERRE | Uranium -  filtered or unfiltered
90000241 | 20 | U-particulate | ug/g | 2 | 1 | -1.00000 | 20.00000 | BCPIERRE | Uranium - particulate
90000072 | 90 | Urea | mmol/m3 | 2 | 2 | 0.00000 | 10.00000 | P. Strain | Urea
90000156 | 90 | UreaUptake_SIS_day | umol/m3/day | 4 | 2 | 0.00000 | 2000.00000 | KennedyM | not to be used yet Mary to update this week
90000155 | 90 | UreaUptake_SIS_hr | umol/m3/hr | 4 | 2 | 0.00000 | 2000.00000 | KennedyM | not to be used yet Mary to update this week
90000380 | 20 | U-Sediment | ug/g | 2 | 2 | 0.00000 | 50.00000 | BCPIERRE | Uranium - Sediment
90000264 | 20 | V | mg/m3 | 1 | 2 | -1.00000 | 9.00000 | BCPIERRE | Vanadium - filtered or unfiltered
90000060 | 90 | V - filtered | mg/m3 | 3 | 2 |  |  | P. Strain | V - filtered
90000239 | 20 | V-particulate | ug/g | 3 | 0 | -1.00000 | 500.00000 | BCPIERRE | Vanadium - particulate
90000382 | 20 | V-Sediment | ug/g | 2 | 2 | 0.00000 | 50.00000 | BCPIERRE | Vanadium - Sediment
90000384 | 20 | W-Sediment | ug/g | 2 | 2 | 0.00000 | 50.00000 | BCPIERRE | Tungsten - Sediment
90000386 | 20 | Y-Sediment | ug/g | 2 | 2 | 0.00000 | 50.00000 | BCPIERRE | Yttrium - Sediment
90000262 | 20 | Zn | mg/m3 | 3 | 1 | -1.00000 | 500.00000 | BCPIERRE | Zinc - filtered or unfiltered
90000045 | 90 | Zn - filtered | mg/m3 | 4 | 2 | 0.00000 | 500.00000 | P. Strain | Zn - filtered
90000037 | 90 | Zn - unfiltered | mg/m3 | 4 | 2 | 0.00000 | 1000.00000 | P. Strain | Zn - unfiltered
90000236 | 20 | Zn-particulate | ug/g | 4 | 1 | -1.00000 | 2000.00000 | BCPIERRE | Zinc - particulate
90000388 | 20 | Zn-Sediment | ug/g | 2 | 2 | 0.00000 | 50.00000 | BCPIERRE | Zinc - Sediment
90000390 | 20 | Zr-Sediment | ug/g | 2 | 2 | 0.00000 | 50.00000 | BCPIERRE | Zircomium - Sediment
